Ticker,Company Name,Sector,Industry,Market Cap,Last Price,Volume,52 Week High,52 Week Low,Average Volume,P/E Ratio,Dividend Yield,Beta,Last Updated
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,10856079360,162.97,494745,168.8,105.21,537400,23.2151,0.6,0.623,2025-12-16 17:18:08
CR,Crane Company,Industrials,Specialty Industrial Machinery,10804024320,187.58,264855,203.89,127.04,306706,34.292507,0.48,1.197,2025-12-16 17:18:27
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,10637424640,99.7,1144728,121.48,93.3,1804855,0,4.33,0.21,2025-12-16 17:18:15
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,10614656000,175.54,663148,299.94,140.81,560479,49.869316,0.0,1.018,2025-12-16 17:16:48
CFLT,"Confluent, Inc.",Technology,Software - Infrastructure,10580401152,29.96,18254069,37.9,15.64,11199707,0,0.0,0.986,2025-12-16 17:16:38
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,10511210496,87.82,635325,96.5,81.47,1252238,18.107216,4.12,0.532,2025-12-16 17:19:59
MKSI,MKS Inc.,Technology,Scientific & Technical Instruments,10495229952,156.25,838158,170.37,54.84,1133266,37.832928,0.55,1.929,2025-12-16 17:20:14
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,10313662464,169.73,965039,182.99,95.49,1018717,0,0.0,0.307,2025-12-16 17:17:31
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,10198719488,74.5,1809598,81.23,34.69,2155411,372.5,0.0,1.728,2025-12-16 17:20:13
RMBS,Rambus Inc.,Technology,Semiconductors,10193391616,94.69,1102298,114.55,40.12,2071525,45.09048,0.0,1.506,2025-12-16 17:20:16
DDS,"Dillard's, Inc.",Consumer Cyclical,Department Stores,10185274368,652.36,191092,741.98,282.24,117826,17.727175,0.18,1.293,2025-12-16 17:17:05
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10075976704,36.84,3813530,41.32,25.3,4865973,184.2,0.0,1.481,2025-12-16 17:16:58
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,10065413120,347.61,222320,366.65,131.37,372473,34.24729,0.0,1.363,2025-12-16 17:18:28
AMKR,"Amkor Technology, Inc.",Technology,Semiconductor Equipment & Materials,9956951040,40.28,5377069,47.28,14.03,3333436,32.48387,0.76,1.996,2025-12-16 17:20:09
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,9945759744,51.77,1745643,73.51,50.76,2680076,19.245354,0.0,0.298,2025-12-16 17:17:25
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,9898393600,66.02,2556283,95.46,47.93,2989623,21.435064,4.28,1.309,2025-12-16 17:20:07
AES,The AES Corporation,Utilities,Utilities - Diversified,9699087360,13.62,3943375,15.51,9.46,9703631,8.960526,5.08,1.001,2025-12-16 17:19:47
EGP,"EastGroup Properties, Inc.",Real Estate,REIT - Industrial,9657733120,181.03,335275,188.89,137.67,341566,37.951782,3.38,1.12,2025-12-16 17:19:34
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,9633811456,44.52,1323485,46.39,24.4,2394679,62.704227,1.52,1.044,2025-12-16 17:18:25
SITM,SiTime Corporation,Technology,Semiconductors,9490189312,363.6,249076,387.52,105.4,370917,0,0.0,2.549,2025-12-16 17:20:16
MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,9467652096,53.42,5152792,100.251,15.56,14554357,0,0.0,1.702,2025-12-16 17:19:08
VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,9440950272,19.15,2294180,21.08,12.14,2920612,10.132275,2.46,0.723,2025-12-16 17:20:28
NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,9435710464,318.21,206527,361.32,154.0,370109,41.21891,0.0,1.839,2025-12-16 17:20:15
WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,9407552512,73.34,1735128,120.24,56.33,1429461,0,2.88,0.936,2025-12-16 17:19:27
BZ,Kanzhun Limited,Communication Services,Internet Content & Information,9380914176,20.2,1832668,25.26,12.85,3227404,26.233768,0.84,0.414,2025-12-16 17:20:18
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,9209684992,70.42,909077,74.63,37.34,2031377,20.47093,1.17,1.312,2025-12-16 17:18:29
SAIA,"Saia, Inc.",Industrials,Trucking,9052369920,339.77,369469,545.12,229.12,519366,32.08404,0.0,2.104,2025-12-16 17:18:39
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8949881856,57.44,2414496,79.28,46.01,2172209,117.22449,0.55,1.463,2025-12-16 17:17:26
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,8939734016,64.66,3727320,72.36,9.57,2430755,0,0.0,1.288,2025-12-16 17:17:30
OGE,OGE Energy Corp.,Utilities,Utilities - Regulated Electric,8878259200,43.07,893007,47.33,39.41,1279873,17.297188,3.94,0.605,2025-12-16 17:19:57
POOL,Pool Corporation,Industrials,Industrial Distribution,8832053248,236.67,545721,374.74,229.63,746393,21.593977,2.1,1.229,2025-12-16 17:16:55
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,8677019648,53.45,2805618,61.51,36.69,3819365,60.738636,1.35,1.171,2025-12-16 17:18:34
COLB,"Columbia Banking System, Inc.",Financial Services,Banks - Regional,8649040896,28.91,2337658,29.61,19.61,4351179,13.081448,5.08,0.723,2025-12-16 17:18:52
PATH,UiPath Inc.,Technology,Software - Infrastructure,8604123136,16.09,13009653,19.84,9.38,26018468,38.309525,0.0,1.1,2025-12-16 17:20:19
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,8547755008,81.12,2598075,117.33,49.0,855936,93.24138,0.0,0.195,2025-12-16 17:17:32
HIMS,"Hims & Hers Health, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,8391124480,36.86,9344788,72.98,23.97,25269846,69.54717,0.0,2.411,2025-12-16 17:17:06
APPF,"AppFolio, Inc.",Technology,Software - Application,8299991040,231.06,255609,326.04,190.24,264290,41.482944,0.0,0.802,2025-12-16 17:16:49
PCTY,Paylocity Holding Corporation,Technology,Software - Application,8258247680,149.71,438045,223.8,135.455,632406,37.521305,0.0,0.578,2025-12-16 17:16:39
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,8252134400,98.69,705561,121.81,76.01,964109,12.109203,1.09,0.989,2025-12-16 17:18:24
BPOP,"Popular, Inc.",Financial Services,Banks - Regional,8232942592,121.82,710872,129.32,78.23,578857,10.799645,2.45,0.685,2025-12-16 17:18:48
OSK,Oshkosh Corporation,Industrials,Farm & Heavy Construction Machinery,8225320448,128.52,412531,144.3,76.82,749276,12.538537,1.57,1.408,2025-12-16 17:18:36
CUBE,CubeSmart,Real Estate,REIT - Industrial,8204164608,35.79,1781531,46.09,34.24,1814420,23.090324,5.8,1.117,2025-12-16 17:19:32
CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,8196831744,116.89,673323,136.34,85.58,735961,21.252728,0.37,0.697,2025-12-16 17:20:32
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,8117593088,46.97,2643828,105.14,44.1,2704139,0,9.87,1.329,2025-12-16 17:19:31
QRVO,"Qorvo, Inc.",Technology,Semiconductors,8021079552,86.57,1392835,106.3,49.46,1732658,37.476192,0.0,1.367,2025-12-16 17:20:07
CADE,Cadence Bank,Financial Services,Banks - Regional,8007475200,42.98,1935758,44.26,25.22,3548912,15.516246,2.54,0.977,2025-12-16 17:18:50
ESTC,Elastic N.V.,Technology,Software - Application,7968307712,74.98,982082,118.84,68.1,1864863,0,0.0,0.97,2025-12-16 17:16:38
FR,"First Industrial Realty Trust, Inc.",Real Estate,REIT - Industrial,7920007680,58.02,514798,59.43,40.31,987369,32.41341,3.05,1.143,2025-12-16 17:19:35
CMC,Commercial Metals Company,Basic Materials,Steel,7886624768,71.02,1180025,71.99,37.92,1172880,95.97297,1.01,1.494,2025-12-16 17:19:17
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,7813446656,191.55,209619,200.53,125.54,396528,16.150928,1.8,0.965,2025-12-16 17:18:38
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,7752845824,32.22,2683112,39.2,26.39,3829946,15.056074,2.33,1.35,2025-12-16 17:17:12
